,method,finetune,dataset,alpha,n_epochs,lr,beta,regular_weight,K,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_loss
41,exact,1,cifar--alpha0.5,0.5,6,0.01,0.5,,,0.6108146370733343,0.5046728971962616,0.09647441253466472,1.2147189564419023,0.9187420619161506,0.2976792775438572,0.6082324985749452,0.5838470961025146,0.43795620437956206,0.09756064142736268,1.2657690590859905,0.8898688694099327,0.3117623614467178,0.6087658306431587,1.2167971411930143,0.5817060637204522,1.2785777953434936
42,exact,1,cifar--alpha0.5,0.5,6,0.5,0.5,,,0.1084087607059598,0.0,0.11892470547977704,2.3439718346285336,2.1521791657830915,0.14039551157999272,0.11235055627520292,0.08616539404033743,0.013333333333333334,0.08595270844154412,2.308649302364473,2.134424040250689,0.14600287811694923,0.1026818971939409,2.3507642174939347,0.08890030832476875,2.3122059290602666
43,exact,1,cifar--alpha0.5,0.5,6,0.005,0.5,,,0.5265428761681596,0.38317757009345793,0.1197853147389244,1.4261968960969174,0.995040718306843,0.379085909065471,0.5230598794846755,0.5034626340917205,0.33695652173913043,0.13211430978242436,1.4958558125289731,0.9675219755906324,0.4385857881048339,0.5237149242612367,1.4318658219132807,0.49177800616649536,1.5265539068449192
44,exact,1,cifar--alpha0.5,0.5,6,0.05,0.5,,,0.7021220764317622,0.5972222222222222,0.07158756488244103,1.0030303241703191,0.6953256624085563,0.24310907522299777,0.701588092794649,0.7032675816522377,0.6347826086956522,0.058751082572818365,0.995975870919653,0.7724789054426429,0.20248597492529904,0.7002731561956792,1.0065652192473713,0.7096608427543679,0.9749419291989848
45,exact,0,cifar--alpha0.5,0.5,6,0.1,0.7,,,0.6887794041900548,0.5887850467289719,0.071710338860985,1.0913146780097187,0.7803579624166194,0.2648482871474941,0.6903176564564002,0.6749520449349287,0.5774647887323944,0.06660992451064955,1.121167604737722,0.8929332527395797,0.193905335948223,0.6882294512043705,1.0896496847508392,0.683967112024666,1.1007808311138865
46,exact,1,cifar--alpha0.5,0.5,3,0.1,0.5,,,0.6922320441995774,0.5844155844155844,0.08138258150475136,1.0574042944467608,0.7271452263781899,0.3014370531892648,0.6969138462722393,0.6799764103271427,0.5887850467289719,0.06487046397395699,1.098413623976877,0.8341042969537817,0.22958695045433508,0.6918301465110505,1.0557306510415845,0.6860226104830421,1.075060292730014
47,exact,0,cifar--alpha0.5,0.5,6,0.01,0.7,,,0.6445359453513957,0.5,0.08976125674764929,1.1228176655324578,0.7901226070619398,0.27562346826593237,0.6344105584075859,0.6510901985925293,0.5217391304347826,0.08442053287276421,1.14329114843021,0.8457481975738819,0.26944022187151173,0.6444002979885771,1.123636877730393,0.6495375128468653,1.1255135461676078
48,exact,0,cifar--alpha0.5,0.5,6,0.5,0.7,,,0.1084087607059598,0.0,0.11892470547977704,2.323424130320486,2.1784589290618896,0.10210062508492784,0.11235055627520292,0.08616539404033743,0.013333333333333334,0.08595270844154412,2.3476301115634626,2.246119976043701,0.08059261034299454,0.1026818971939409,2.321217382341986,0.08890030832476875,2.347686313896728
49,exact,0,cifar--alpha0.5,0.5,6,0.005,0.7,,,0.6490726093962127,0.5447154471544715,0.07497599292693695,1.021815677529392,0.811785089969635,0.178706810726904,0.6474280353131032,0.6460590815200401,0.5607476635514018,0.07747118848603467,1.0346914362453574,0.8399174726353242,0.2211699993349424,0.6498634219021604,1.0157630537486946,0.6495375128468653,1.0138557919598772
50,exact,1,cifar--alpha0.5,0.5,3,0.01,0.5,,,0.6018426419449145,0.4615384615384616,0.10074343160039072,1.1771728127452503,0.8414823790588001,0.2959660619017698,0.6025445288582183,0.5835263652217448,0.4678899082568808,0.09852518584527103,1.2617661061502798,0.9708032627415852,0.27158952549766846,0.6008194685870375,1.177262512710744,0.5775950668036999,1.2749499569624043
51,exact,1,cifar--alpha0.5,0.5,3,0.5,0.5,,,0.1084087607059598,0.0,0.11892470547977704,2.3402669212696816,2.1593703223812963,0.13543679772995557,0.11235055627520292,0.08616539404033743,0.013333333333333334,0.08595270844154412,2.308819656563588,2.139017071679374,0.13812259027783502,0.1026818971939409,2.3471533056077516,0.08890030832476875,2.3119681541255663
52,exact,1,cifar--alpha0.5,0.5,3,0.005,0.5,,,0.5213298415223875,0.3684210526315789,0.12879208247818671,1.409734444759408,0.9528619623803471,0.4001157029806771,0.5110269927668224,0.4806008499750856,0.3302752293577982,0.13255501393701655,1.5877312040082834,1.1408726342519124,0.4222325385412299,0.5208592003973181,1.4049955169069677,0.473792394655704,1.6137527341495927
53,exact,0,cifar--alpha0.5,0.5,6,0.05,0.7,,,0.6986477727564371,0.591304347826087,0.07495752248146335,1.0014891071336849,0.7251979036208911,0.2397181017477397,0.7047395511225367,0.6894884321280773,0.6056338028169014,0.06492976692627783,1.020261187168273,0.7763679481152469,0.20646446740222715,0.6996523466600447,0.9975130844283152,0.6998972250770812,0.9889482463320444
54,exact,0,cifar--alpha0.5,0.5,3,0.1,0.7,,,0.6885284440270463,0.5887850467289719,0.0732007390354908,1.0379988167743643,0.7632253714331765,0.2620341574581998,0.6882003152537031,0.6782266945665922,0.5774647887323944,0.07487332501745768,1.0470331276743372,0.8772417796801214,0.19113190908059355,0.6878569654829898,1.0299554003451967,0.6870503597122302,1.0196005917457671
55,exact,0,cifar--alpha0.5,0.5,3,0.01,0.7,,,0.6652424117656759,0.5694444444444444,0.06909968144628056,1.0070505400746264,0.8122743407885233,0.17704148741137543,0.6618476252086652,0.6635754061304997,0.591304347826087,0.06056979758401533,1.005255279316153,0.863276915190971,0.18241293503026984,0.6645145269431338,1.0030485375673095,0.6659815005138746,0.9908119692349422
56,exact,1,cifar--alpha0.5,0.5,3,0.05,0.5,,,0.7081405801023339,0.5901639344262295,0.071997552088539,0.967831525260604,0.7077372573670887,0.2363480674173036,0.7041376556557276,0.7016199162107108,0.6,0.07247833919303572,0.9900303339719956,0.7347719322859756,0.20090557473266135,0.7057362801092625,0.974175496628348,0.7029804727646455,0.9751678665533742
57,exact,1,cifar--alpha0.5,0.5,6,0.1,0.3,,,0.6957943897711074,0.5846153846153846,0.08158838235863995,0.9899866836836037,0.702258798421598,0.27149480954103405,0.6968008994736365,0.6759290334435325,0.5826086956521739,0.08984913867492382,1.0231467851223872,0.7312474599424398,0.25213387987846436,0.6954308418177303,0.9863604981182104,0.6865364850976362,0.9922084607804176
58,exact,0,cifar--alpha0.5,0.5,3,0.5,0.7,,,0.09804942136650067,0.0,0.16371759983646056,2.3217705827741284,2.188739538192749,0.09809456224826207,0.08696138408635645,0.06898552523603402,0.0,0.10321512210394236,2.343048792814224,2.2529927033644457,0.07980272623161397,0.10938664017879314,2.319403359544819,0.06115107913669065,2.343226178576988
59,exact,1,cifar--alpha0.5,0.5,6,0.01,0.3,,,0.5997853817003893,0.49612403100775193,0.10066742609134892,1.1721902541630893,0.8403490785374699,0.27410524477838555,0.5967612944827071,0.5791980032836296,0.4306569343065693,0.10961729560160358,1.208813920279146,0.8472216963768006,0.2642233353246804,0.5974670970946113,1.1755722307516592,0.5781089414182939,1.215295027773722
60,exact,0,cifar--alpha0.5,0.5,3,0.005,0.7,,,0.6351242956207601,0.5403225806451613,0.0754209132684482,1.0319865987132022,0.828175193355197,0.159662549889593,0.6365342436099348,0.6435761840513848,0.5739130434782609,0.07328598167643315,1.0411592997222214,0.8602128346761068,0.19574385142784467,0.6384405264464862,1.025958322512177,0.644398766700925,1.0249219635599134
61,exact,0,cifar--alpha0.5,0.5,3,0.05,0.7,,,0.7034061477397321,0.6016260162601627,0.08439779435127545,1.0066332615415674,0.6920142797536628,0.30486330069789597,0.7061803551882374,0.6914947955574919,0.6126126126126126,0.07896740437894104,1.025651480905258,0.7223119180496425,0.25102243223993015,0.701638937174075,1.0067719570367726,0.6988694758478932,0.9969737253746234
62,exact,1,cifar--alpha0.5,0.5,6,0.5,0.3,,,0.1084087607059598,0.0,0.11892470547977704,2.3356467860981645,2.162800892805442,0.12179622378215048,0.11235055627520292,0.08616539404033743,0.013333333333333334,0.08595270844154412,2.3048763339937635,2.150620217635253,0.13044180188601018,0.1026818971939409,2.341437196965427,0.08890030832476875,2.307737278852531
63,exact,1,cifar--alpha0.5,0.5,6,0.005,0.3,,,0.5056048287141518,0.3504273504273504,0.1250080500247789,1.4292438864726007,0.9905756237995194,0.36508896837611104,0.5116372240228548,0.4828494450412142,0.3119266055045872,0.1316914009093045,1.4943230441036366,1.0040200251799365,0.39380650188032496,0.5027315619567917,1.434460487830038,0.4722507708119219,1.52386289531746
64,exact,1,cifar--alpha0.5,0.5,6,0.05,0.3,,,0.6995805503160271,0.5779816513761468,0.08368157491158422,0.9508043976018868,0.6780158613548904,0.2625537638977935,0.7007209441247895,0.6905062984864856,0.6238532110091743,0.08381074361079281,0.9673912167733102,0.6867776181155104,0.2088326900344044,0.699279860938664,0.958221951519008,0.6957862281603289,0.9629052800213954
65,exact,1,cifar--alpha0.5,0.5,3,0.1,0.3,,,0.6942078964581497,0.6083333333333333,0.07026556079396758,1.0064722795533565,0.7545671065648397,0.2459459640937151,0.6994976806330887,0.6821530654345234,0.5633802816901409,0.08072646456904511,1.0320328282239004,0.8311155990723076,0.20517940615932312,0.6928234417680655,1.00464243623864,0.6942446043165468,1.0094078387988523
66,exact,1,cifar--alpha0.5,0.5,3,0.01,0.3,,,0.5945453314646023,0.45185185185185184,0.10120344086269308,1.173122578421336,0.8519474378851957,0.2804062896566882,0.5946194279976348,0.561463834225245,0.43119266055045874,0.1057069957230669,1.2530049740085982,0.9702861754874872,0.26644967247353274,0.5927489446237895,1.1740298472758386,0.5606372045220966,1.2640545838737414
67,exact,1,cifar--alpha0.5,0.5,3,0.5,0.3,,,0.1084087607059598,0.0,0.11892470547977704,2.3339236462560797,2.1732229032824115,0.12146706898810342,0.11235055627520292,0.08616539404033743,0.013333333333333334,0.08595270844154412,2.3064181342195633,2.143697542564891,0.12522335413460006,0.1026818971939409,2.339929852676297,0.08890030832476875,2.3089446457905
68,exact,1,cifar--alpha0.5,0.5,3,0.05,0.3,,,0.7023723722725397,0.6116504854368932,0.07150061570572724,0.9216163083386674,0.6646546996241316,0.21802690830626073,0.6994676829619333,0.690291689657354,0.6058394160583942,0.07999682189041223,0.9428467312515932,0.7090574284212305,0.19936612979514148,0.7010181276384405,0.924950450506276,0.697327852004111,0.9264162874011034
69,exact,1,cifar--alpha0.5,0.5,6,0.01,0.1,,,0.6066206191202269,0.49230769230769234,0.09087070019836536,1.158672125969801,0.8537040646974142,0.2490389384027384,0.6162497953667454,0.5973318810271601,0.48905109489051096,0.10050784757877794,1.1772140519197067,0.8186990223921738,0.26872628112344066,0.6015644400297988,1.1697218521667665,0.5986639260020555,1.1865776548526303
70,exact,1,cifar--alpha0.5,0.5,3,0.005,0.3,,,0.5042653018935823,0.3391304347826087,0.13439012041270093,1.432072217379418,0.9764092796808712,0.4132181055829175,0.4947709464567602,0.4668458859408734,0.32608695652173914,0.14356386634176538,1.6039974361357854,1.1370787731806438,0.4285306224573816,0.502234914328284,1.4272338220489316,0.4568345323741007,1.6328880761195843
