,method,finetune,dataset,alpha,n_epochs,lr,beta,regular_weight,K,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_loss,sys_avg/total_model_size,sys_avg/total_upload_bytes,sys_avg/local_convergence_round,sys_avg/global_convergence_time_minutes,sys_avg/fl_end_time_minutes,sys_avg/total_flops,sys_avg/global_convergence_round,sys_avg/total_download_bytes,sys_avg/local_convergence_time_minutes
278,fedem,1,cifar--alpha5.0,5.0,3,0.01,,,,0.48686676572537,0.4144144144144144,0.05665982368298325,1.502305588148374,1.338483176979364,0.1723523528832232,0.4898539140301176,0.4897831449990682,0.4433962264150943,0.041620703734148626,1.4515415449590048,1.3268573214026058,0.11190913121316036,0.48772813089993705,1.5006958085609878,0.4909975669099757,1.4499232332781864,6.11M,74.41K,1.5841584158415842,0.0,0.0,775.8G,0.0,72.05K,3.4461254268976895
279,fedem,1,cifar--alpha5.0,5.0,3,0.5,,,,0.4237657137530363,0.35185185185185186,0.06256680933790854,1.6170158297786827,1.5322456174683805,0.08300515806507845,0.40725931169341856,0.41322689538758295,0.3448275862068966,0.06601637156370999,1.6126576777484083,1.545354610291597,0.06416049253676157,0.4242920075519194,1.616893619070119,0.4131386861313869,1.6121782928777728,6.11M,143.71K,9.663366336633665,0.0,0.0,1.47T,0.0,141.36K,18.20667667673267
280,fedem,0,cifar--alpha5.0,5.0,1,0.5,,,,0.0981134991763188,0.05,0.04735850465574811,2.3053648599564363,2.2930687022420155,0.011154432842122771,0.10487381865732635,0.10659675040493072,0.061224489795918366,0.04086604547985946,2.3046149825755298,2.292843961715698,0.009150315513878998,0.09817495280050346,2.3053250862263224,0.1070559610705596,2.3043352101551067,6.11M,74.41K,1.5841584158415842,0.0,0.0,355.86G,0.0,72.05K,2.1018800389438943
281,fedem,1,cifar--alpha5.0,5.0,3,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,fedem,1,cifar--alpha5.0,5.0,3,0.05,,,,0.7219921325926092,0.6568627450980392,0.04827107022971494,0.9777792817270148,0.7573072711626688,0.2102631242277932,0.7199017497044667,0.7298739817445032,0.6896551724137931,0.04631409204678251,0.9917426494648136,0.781185134974393,0.16936325071625044,0.7227186910006294,0.9749024168683756,0.7309002433090024,0.9885244275386608,6.11M,836.77K,11.0990099009901,78.3951132082508,78.40458514669967,8.48T,120.0,834.41K,19.10445560165016
283,fedem,1,cifar--alpha5.0,5.0,1,0.1,,,,0.7271536087935989,0.6476190476190476,0.0571415659194406,0.8624122566790348,0.6667483477916533,0.17009628192189089,0.7272339147195581,0.7313630033371361,0.6542056074766355,0.05315416797400612,0.8413914130089706,0.6577533658813027,0.1511338733452096,0.7268722466960352,0.8619960071834343,0.732360097323601,0.8398157797300613,6.11M,1.36M,11.0990099009901,72.16090083036302,72.16817325858085,9.16T,200.0,1.36M,12.774452637128713
284,fedem,0,cifar--alpha5.0,5.0,1,0.005,,,,0.40140928175136353,0.3333333333333333,0.050397092081143874,1.7944273430582736,1.6996902991267084,0.07094352696897155,0.3977053935795569,0.3939689626051563,0.3253012048192771,0.06658748532387448,1.8128144747146608,1.7230782308311106,0.0689157012537553,0.4007551919446193,1.7946655960185036,0.39513381995133817,1.8118637444619137,6.11M,74.41K,1.5841584158415842,0.0,0.0,355.86G,0.0,72.05K,1.5705675752475248
285,fedem,0,cifar--alpha5.0,5.0,1,0.05,,,,0.738329602076868,0.6790123456790124,0.045636038353665,0.8204163614013087,0.6405782632681788,0.15673487316423898,0.7477025791825282,0.7402402213287019,0.6728971962616822,0.040811251774650295,0.810079074123402,0.6571184613487937,0.13247648428882866,0.7383259911894273,0.8191900031850952,0.7411192214111922,0.8101614398677853,6.11M,1.76M,11.0990099009901,76.14537217986799,76.15072058745876,8.26T,260.0,1.76M,9.74805143630363
286,fedem,1,cifar--alpha5.0,5.0,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,fedem,1,cifar--alpha5.0,5.0,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,fedem,1,cifar--alpha5.0,5.0,1,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,fedem,1,cifar--alpha5.0,5.0,1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,fedbn,0,cifar--alpha5.0,5.0,3,0.05,,,,0.7064131839676213,0.6470588235294118,0.05091683376196353,0.8906509678344964,0.7104490314211164,0.1439214216049472,0.7055259064263154,0.42725589278424875,0.336734693877551,0.05952486333454504,1.9737860425089693,1.9031649398803712,0.05616826339642346,0.7067337948395217,0.8897077445523981,0.4282238442822384,1.972496850763214,2.04M,1.21M,11.0990099009901,26.05190270066007,26.0560535089109,873.52G,630.0,1.21M,0.6030056382838285
291,fedbn,0,cifar--alpha5.0,5.0,1,0.1,,,,0.7064131839676213,0.6470588235294118,0.05091683376196353,0.8906509678344964,0.7104490314211164,0.1439214216049472,0.7055259064263154,0.42725589278424875,0.336734693877551,0.05952486333454504,1.9737860425089693,1.9031649398803712,0.05616826339642346,0.7067337948395217,0.8897077445523981,0.4282238442822384,1.972496850763214,2.04M,1.21M,11.0990099009901,23.16861329768977,23.171288608745876,873.52G,630.0,1.21M,0.5625357990099009
292,fedbn,0,cifar--alpha5.0,5.0,3,0.5,,,,0.7064131839676213,0.6470588235294118,0.05091683376196353,0.8906509678344964,0.7104490314211164,0.1439214216049472,0.7055259064263154,0.42725589278424875,0.336734693877551,0.05952486333454504,1.9737860425089693,1.9031649398803712,0.05616826339642346,0.7067337948395217,0.8897077445523981,0.4282238442822384,1.972496850763214,2.04M,1.21M,11.0990099009901,24.109389890759083,24.112603871287128,873.52G,630.0,1.21M,0.575593604290429
293,fedbn,0,cifar--alpha5.0,5.0,3,0.1,,,,0.7064131839676213,0.6470588235294118,0.05091683376196353,0.8906509678344964,0.7104490314211164,0.1439214216049472,0.7055259064263154,0.42725589278424875,0.336734693877551,0.05952486333454504,1.9737860425089693,1.9031649398803712,0.05616826339642346,0.7067337948395217,0.8897077445523981,0.4282238442822384,1.972496850763214,2.04M,1.21M,11.0990099009901,24.211373939933996,24.214626640594055,873.52G,630.0,1.21M,0.5745844191419142
294,fedbn,0,cifar--alpha5.0,5.0,3,0.005,,,,0.7064131839676213,0.6470588235294118,0.05091683376196353,0.8906509678344964,0.7104490314211164,0.1439214216049472,0.7055259064263154,0.42725589278424875,0.336734693877551,0.05952486333454504,1.9737860425089693,1.9031649398803712,0.05616826339642346,0.7067337948395217,0.8897077445523981,0.4282238442822384,1.972496850763214,2.04M,1.21M,11.0990099009901,24.182072935643564,24.183985487293725,873.52G,630.0,1.21M,0.5449367991749174
295,fedbn,0,cifar--alpha5.0,5.0,3,0.1,,,,0.7064131839676213,0.6470588235294118,0.05091683376196353,0.8906509678344964,0.7104490314211164,0.1439214216049472,0.7055259064263154,0.42725589278424875,0.336734693877551,0.05952486333454504,1.9737860425089693,1.9031649398803712,0.05616826339642346,0.7067337948395217,0.8897077445523981,0.4282238442822384,1.972496850763214,2.04M,1.21M,11.0990099009901,25.900028201815186,25.90218961567658,873.52G,630.0,1.21M,0.5821464465346535
